language	project	upstream	pin	copy_kind	license	local_path	retrieved_utc	notes
Haskell	servant-graphql	https://github.com/haskell-servant/servant-graphql	1f1c11f5997a1d7230f210dc98ce0a3c65b54c75	complete-source	BSD-3-Clause	_reference.code/haskell/servant-graphql/	2026-09-09	Tiny implementation; full GraphQL source module copied.
Haskell	morpheus-graphql	https://github.com/morpheusgraphql/morpheus-graphql	db93df213fd2716dbd8aafb81a07e3a8a6ea5967	architectural-slice	MIT	_reference.code/haskell/morpheus-graphql/	2026-09-09	Client code-generation AST and JSON/request internals.
Haskell	graphql-client	https://github.com/brandonchinn178/graphql-client	f7be888463228875a2f45e2cc2653a89047ccaf0	architectural-slice	BSD-3-Clause	_reference.code/haskell/graphql-client/	2026-09-09	Typed query/result relation and monadic execution boundary.
Haskell	graphql-api	https://github.com/haskell-graphql/graphql-api	8ced344485cd638cee50eeb6b653baecea359406	excerpt	BSD-3-Clause OR Apache-2.0	_reference.code/haskell/graphql-api/	2026-09-09	Explicitly marked type-level schema excerpt from upstream API.hs.
PureScript	purescript-graphql-fundeps	https://github.com/rowtype-yoga/purescript-graphql-fundeps	5384b0cb88964cdbbd17ca7166e7e1c57830f414	complete-source	Apache-2.0	_reference.code/purescript/purescript-graphql-fundeps/	2026-09-09	Entire library source; functional dependency binds operation to query/input/output.
Elm	elm-graphql	https://github.com/dillonkearns/elm-graphql	7b7bdc21bcd5e6021e8fd6223f640f97792087c2	architectural-slice	BSD-3-Clause	_reference.code/elm/elm-graphql/	2026-09-09	Typed selection builder and decoder coupling.
Reason	reasonql	https://github.com/sainthkh/reasonql	b25756ba2c2ae18c5be575b23b40ae238cf07d5e	architectural-slice	MIT	_reference.code/reason/reasonql/	2026-09-09	Typed query module, transport, utilities, and schema/query compiler entrypoint.
OCaml	ocaml-graphql-server	https://github.com/andreas/ocaml-graphql-server	a156609930e68ed5053501446b745d98832e4f2b	architectural-slice	MIT	_reference.code/ocaml/ocaml-graphql-server/	2026-09-09	Complete public schema interface; indexed argument list and typed resolver signatures.
FSharp	Snowflaqe	https://github.com/Zaid-Ajaj/Snowflaqe	a20cab41d1a6598553b74308871cfddd33a5a7b3	architectural-slice	MIT	_reference.code/fsharp/Snowflaqe/	2026-09-09	Complete central GraphQL type/operation/validation error model.
FSharp	FSharp.Data.GraphQL	https://github.com/fsprojects/FSharp.Data.GraphQL	7e51ea7b41d7004be51d5feacd030b6496a97465	architectural-slice	MIT	_reference.code/fsharp/FSharp.Data.GraphQL/	2026-09-09	Client runtime context; catalog points to provider/code-generation architecture.
Scala	grackle	https://github.com/typelevel/grackle	fb48ee73354088003758136ddd341e9e286f0edf	excerpt	Apache-2.0	_reference.code/scala/grackle/	2026-09-09	Explicitly marked compiler-pipeline excerpt showing parse/validate/elaborate/compile stages.
